Date,Item,Item desc.,Quantity,Ext. quantity, Price , Purchase amount , Amount ,PO number,Entered date,[ItemInventoryCode],NA Item #,Item Desc.,IBPI Price,Unit Difference,Total Difference,Total Savings 
6/23/2023,116R00020,Xerox VersaLink C405Z Yellow Toner Cartridge 12900 Yield,1,1, $ 149.00 , $ 149.00 , $ 149.00 ,4004-1-0,6/23/2023,Supplies,#N/A,#N/A,#N/A,,,
9/5/2023,116R00020,Xerox VersaLink C405Z Yellow Toner Cartridge 12900 Yield,1,1, $ 116.09 , $ 116.09 , $ 116.09 ,5103-0,9/5/2023,Supplies,#N/A,#N/A,#N/A,,,
11/15/2023,116R00020,Xerox VersaLink C405Z Yellow Toner Cartridge 12900 Yield,1,1, $ 116.09 , $ 116.09 , $ 116.09 ,6084-0,11/15/2023,Supplies,#N/A,#N/A,#N/A,,,
1/17/2024,116R00020,Xerox VersaLink C405Z Yellow Toner Cartridge 12900 Yield,1,1, $ 116.32 , $ 116.32 , $ 116.32 ,7165-0,1/17/2024,Supplies,#N/A,#N/A,#N/A,,,
3/22/2024,116R00021,Xerox VersaLink C405Z Black Toner Cartridge 11800 Yield,1,1, $ 40.43 , $ 40.43 , $ 40.43 ,8433-0,3/22/2024,Supplies,#N/A,#N/A,#N/A,,,
4/25/2023,116R00021,Xerox VersaLink C405Z Black Toner Cartridge 11800 Yield,1,1, $ 35.42 , $ 35.42 , $ 35.42 ,3289-0,4/25/2023,Supplies,#N/A,#N/A,#N/A,,,
6/8/2023,116R00021,Xerox VersaLink C405Z Black Toner Cartridge 11800 Yield,1,1, $ 35.42 , $ 35.42 , $ 35.42 ,3855-0,6/8/2023,Supplies,#N/A,#N/A,#N/A,,,
7/21/2023,116R00021,Xerox VersaLink C405Z Black Toner Cartridge 11800 Yield,1,1, $ 40.43 , $ 40.43 , $ 40.43 ,4435-0,7/21/2023,Supplies,#N/A,#N/A,#N/A,,,
8/25/2023,116R00021,Xerox VersaLink C405Z Black Toner Cartridge 11800 Yield,2,2, $ 40.43 , $ 80.86 , $ 80.86 ,5009-0,8/25/2023,Supplies,#N/A,#N/A,#N/A,,,
9/5/2023,116R00021,Xerox VersaLink C405Z Black Toner Cartridge 11800 Yield,1,1, $ 40.43 , $ 40.43 , $ 40.43 ,5103-0,9/5/2023,Supplies,#N/A,#N/A,#N/A,,,
10/6/2023,116R00021,Xerox VersaLink C405Z Black Toner Cartridge 11800 Yield,1,1, $ 40.43 , $ 40.43 , $ 40.43 ,5709-0,10/6/2023,Supplies,#N/A,#N/A,#N/A,,,
